fraction,committed_len,attempts,ok_answers,numeric,truncated,cap_hits,no_answer,rate_defined,target_reachability,target_count,dominant_bucket,dominant_mass,answer_field_entropy,wilson_target_low,wilson_target_high,field
0.0,0,128,128,128,0,0,0,1,0.703125,90,4,0.703125,0.877437311089633,0.6189931578757641,0.7754195312906295,"{""0"": 38, ""4"": 90}"
0.25,38,128,128,128,0,0,0,1,0.3984375,51,0,0.6015625,0.9700292494214555,0.317774463028681,0.4850191923881222,"{""4"": 51, ""0"": 77}"
0.5,75,128,128,128,0,0,0,1,0.1640625,21,0,0.8359375,0.6439403638806509,0.10988249779919598,0.23781959319484536,"{""0"": 107, ""4"": 21}"
0.75,112,128,128,128,0,0,0,1,0.109375,14,0,0.890625,0.4980278865344765,0.0662781874950252,0.1752358718003717,"{""0"": 114, ""4"": 14}"
1.0,150,128,128,128,0,0,0,1,0.0546875,7,0,0.9453125,0.3059848737138347,0.026739860883193318,0.10858616671355914,"{""0"": 121, ""4"": 7}"
